샘밭막국수 (서울본점), 서울시 서초구 서초동 1685-8, 02-585-1702, 국수 / 면 요리, 만원 미만, 주차공간없음, 11:30 - 21:30
백령면옥 (제물포점), 인천시 미추홀구 도화동 90-9, 032-881-8489, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:00 - 21:00
가격파괴범, 인천시 미추홀구 도화동 88-9, 010-7433-9982, 일반 주점, 만원 미만, 17:00 - 01:00, 
모노에스프레소, 인천시 미추홀구 도화동 85-5, 070-4234-8040, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 08:00 - 19:00\n토: 10:00 - 18:00
초밥마루, 인천시 미추홀구 숭의동 201-3, 032-883-1333, 회 / 스시, 만원-2만원, 무료주차 가능, 11:00 - 22:00
숭의가든, 인천시 미추홀구 숭의동 72-2, 032-887-5555, 고기 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:00
한스델리 (인천제물포점), 인천시 미추홀구 숭의동 52-21, 032-863-2088, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 21:00
모미락, 인천시 미추홀구 숭의동 58-8, 032-887-8058, 기타 한식, 만원 미만, 주차공간없음, 10:00 - 22:00
명품삼계탕, 인천시 미추홀구 숭의동 129, 032-889-0234, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 10:00 - 22:00
크레플, 인천시 미추홀구 도화동 80-72, 010-2224-8011, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 11:30 - 21:30\n토: 11:30 - 18:30
신승반점 (본점), 인천시 중구 북성동2가 11-31, 032-762-9467, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:00 - 21:00
원보, 인천시 중구 북성동2가 10-3, 032-773-7888, 딤섬 / 만두, 만원 미만, 주차공간없음, 10:30 - 19:30
만다복 (본점), 인천시 중구 북성동2가 9-11, 032-773-3838, 정통 중식 / 일반 중식, 만원 미만, 무료주차 가능, 11:00 - 21:30
홍두병, 인천시 중구 북성동2가 10-13, 032-764-9977, 기타 중식, 만원 미만, 주차공간없음, 월-금: 10:30 - 21:00\n토-일: 10:30 - 23:00
다다복, 인천시 중구 선린동 6, 032-765-9888, 정통 중식 / 일반 중식, 만원-2만원, 11:00 - 20:00, None
팟알, 인천시 중구 관동1가 17, 032-777-8686, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 22:00
십리향, 인천시 중구 북성동2가 10-26, 032-762-5888, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:00 - 20:30
중국제과담 (1호점), 인천시 중구 북성동3가 4-4, 032-773-8800, 베이커리, 만원 미만, 유료주차 가능, 09:30 - 21:00
연경, 인천시 중구 북성동3가 5-1, 032-766-5551, 정통 중식 / 일반 중식, 만원-2만원, 주차공간없음, 10:30 - 21:00
신, 인천시 중구 북성동3가 3-8, 032-761-8889, 정통 중식 / 일반 중식, 2만원-3만원, , None
비어펍, 서울시 구로구 고척동 52-196, 02-2615-0213, 치킨 / 호프 / 펍, 만원 미만, 주차공간없음, 17:00 - 04:00
도네누 (동양공대점), 서울시 구로구 고척동 52-199, 02-2685-9285, 고기 요리, 만원-2만원, 14:00 - 02:00, 
주먹쥔갈매기, 서울시 구로구 고척동 76-201, 070-4121-9292, 고기 요리, 만원-2만원, 주차공간없음, 16:00 - 01:00
안주파티, 서울시 구로구 구로동 685-448, 02-830-1082, 일반 주점, 만원-2만원, 무료주차 가능, 17:00 - 02:00
빨봉분식 (고척점), 서울시 구로구 고척동 76-200, 070-4318-2338, 기타 한식, 만원 미만, 주차공간없음, 11:00 - 23:30
리틀하노이 (고척점), 서울시 구로구 고척동 46-11, 070-8154-2525, 베트남 음식, 만원 미만, 주차공간없음, 09:30 - 22:00
뺑드미 (본점), 서울시 구로구 고척동 50-92, 070-8805-0789, 베이커리, 만원 미만, 주차공간없음, 10:30 - 22:00
김떡비, 서울시 구로구 고척동 51-18, 02-2683-2807, 기타 한식, 만원-2만원, 무료주차 가능 공간협소, 08:00 - 11:30
썬더치킨 (고척점), 서울시 구로구 고척동 52-61, 02-2613-2299, 치킨 / 호프 / 펍, 만원 미만, 주차공간없음, 15:00 - 02:00
아로이, 서울시 구로구 고척동 52-92, 02-2625-3793, 태국 음식, 만원 미만, 주차공간없음, 월-금: 10:00 - 22:00\n토: 11:00 - 22:00\n일: 12:00 - 20:00
떡애, 경기도 부천시 괴안동 70-13, 032-299-3456, 카페 / 디저트, 만원 미만, 주차공간없음, 06:00 - 19:00
카페 이유, 경기도 부천시 소사본동 101-10, 010-6688-6127, 카페 / 디저트, 만원 미만, 주차공간없음, 09:30 - 22:00
멜로우시티, 경기도 부천시 소사본동 152-7, 카페 / 디저트, 만원 미만, 주차공간없음, 화-토: 11:00 - 22:30\n일: 12:00 - 22:30, 22:00
하늘자전거 (소사점), 경기도 부천시 소사동 17-10, 032-344-0300, 돈부리 / 일본 카레 / 벤토, 만원 미만, 무료주차 가능, 11:00 - 21:00
차이나텐진, 경기도 부천시 소사본동 96-1, 032-348-6633, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 10:30 - 20:45
또모찌 (소사점), 경기도 부천시 소사동 9-1, 032-341-5700, 카페 / 디저트, 만원 미만, 주차공간없음, 09:30 - 19:50
치킨과외것들, 경기도 부천시 소사본동 133-12, 032-349-5567, 닭 / 오리 요리, 만원-2만원, None, None
왕또떡볶이, 경기도 부천시 소사본동 65-6, 032-345-6080, 기타 한식, 만원 미만, 유료주차 가능, 11:00 - 21:00
서신분식, 경기도 부천시 소사본동 93-17, 032-349-0376, 기타 한식, 만원 미만, 유료주차 가능, 11:00 - 22:00
요거프레소 (서울신학대점), 경기도 부천시 소사본동 101-10, 032-344-6137, 카페 / 디저트, 만원 미만, 주차공간없음, 08:00 - 23:00
안스베이커리 (간석점), 인천시 미추홀구 주안동 1617, 032-424-0432, 베이커리, 만원 미만, 주차공간없음, 08:00 - 23:20
효재네맛집, 인천시 미추홀구 주안동 955-1, 032-424-9050, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 11:30 - 21:00
금강산숯불갈비, 인천시 미추홀구 주안동 35-39, 032-438-9980, 고기 요리, 2만원-3만원, 무료주차 가능, 09:40 - 24:00
한우평, 인천시 미추홀구 주안동 35-2, 032-422-0774, 고기 요리, 2만원-3만원, 무료주차 가능, 11:00 - 24:00
형제닭집, 인천시 미추홀구 주안동 954-35, 032-424-9630, 닭 / 오리 요리, 만원 미만, 유료주차 가능, 09:00 - 21:00
야래향, 인천시 미추홀구 주안동 951-9, 032-421-1290, 정통 중식 / 일반 중식, 만원-2만원, 유료주차 가능 1시간 1,200원
먹돌래식당, 인천시 남동구 간석동 617-36, 032-431-7540, 해산물 요리, 만원-2만원, 주차공간없음, 16:00 - 24:00
린 (간석점), 인천시 남동구 간석동 935, 032-421-2128, 정통 중식 / 일반 중식, 만원 미만, 무료주차 가능, 11:00 - 21:00
식객, 인천시 미추홀구 주안동 953-1, 032-439-8844, 고기 요리, 4만원 이상, 무료주차 가능, 11:00 - 22:00
수림공원가든, 인천시 남동구 간석동 383-1, 032-424-3000, 고기 요리, 2만원-3만원, None, None
이화찹쌀순대, 인천시 중구 도원동 67-1, 032-882-3039, 탕 / 찌개 / 전골, 만원 미만, 발렛, 월-금: 11:00 - 21:00\n토: 09:30 - 21:00
대도닭강정, 인천시 중구 선화동 2-6, 032-262-5651, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 14:00 - 01:00
신일반점, 인천시 중구 신흥동2가 4-1, 032-882-1812, 정통 중식 / 일반 중식, 만원 미만, 유료주차 가능, 11:30 - 21:00
창영떡집, 인천시 동구 창영동 106-4, 032-773-8015, 카페 / 디저트, 만원 미만, 무료주차 가능, 06:00 - 18:00
아레나, 인천시 중구 도원동 64-43, 032-881-8383, 뷔페, 3만원-4만원, 무료주차 가능, None
웅이네족발, 인천시 미추홀구 숭의동 106-35, 032-766-7343, 고기 요리, 만원-2만원, 주차공간없음, 16:00 - 01:00
성원식당, 인천시 중구 신흥동2가 5-7, 032-883-0843, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 10:30 - 21:00
엘레나가든 (인천숭의점), 인천시 미추홀구 숭의동 393-3, 032-886-7521, 기타 양식, None, None, None
천영토시살전문, 인천시 동구 창영동 48, 032-764-0143, 고기 요리, 3만원-4만원, 무료주차 가능, 12:00 - 21:30
신흥정육식당, 인천시 중구 선화동 37-2, 032-884-8069, 고기 요리, 2만원-3만원, 주차공간없음, 12:00 - 23:00
한촌설렁탕 (부천본점), 경기도 부천시 송내동 389, 032-668-2566, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 월-토: 00:00 - 24:00\n일: 00:00 - 22:00
아뜰리에낭만앵, 경기도 부천시 중동 1289, 010-4736-7282, 카페 / 디저트, 만원 미만, , None
하루동, 경기도 부천시 상동 242-8, 032-655-0586, 라멘 / 소바 / 우동, 만원 미만, 주차공간없음, 11:00 - 21:30
커피상동시장 (상동시장점), 경기도 부천시 상동 238, 032-612-3625, 카페 / 디저트, 만원 미만, 무료주차 가능, 10:00 - 22:00
순흥골숯불갈비, 경기도 부천시 송내동 383, 032-612-0033, 고기 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:30
뿔난쭈꾸미, 경기도 부천시 상동 329-13, 032-655-4379, 해산물 요리, 만원-2만원, 주차공간없음, 16:00 - 01:00
육영맥반석치킨, 경기도 부천시 중동 753, 032-666-3320, 닭 / 오리 요리, 만원-2만원, 무료주차 가능 공간협소, 15:00 - 02:00
속초생선찜구이, 경기도 부천시 상동 231-41, 032-664-1888, 한정식 / 백반 / 정통 한식, 만원-2만원, 무료주차 가능, 11:00 - 24:00
치킨678 (부천중동역점), 경기도 부천시 송내동 372, 050-4308-4429, 닭 / 오리 요리, 만원 미만, 무료주차 가능, 16:00 - 01:00
웜이디자인베이킹, 경기도 부천시 송내동 368, 070-4136-0137, 카페 / 디저트, 만원 미만, 주차공간없음, 16:00 - 19:30
초가메밀우동, 인천시 미추홀구 도화동 104-7, 032-872-7328, 국수 / 면 요리, 만원 미만, 주차공간없음, 월-금: 10:00 - 22:00\n토-일: 11:00 - 15:00
선어락, 인천시 미추홀구 도화동 104-40, 032-875-5751, 해산물 요리, 2만원-3만원, 주차공간없음, 12:00 - 20:00
고기사냥, 인천시 미추홀구 도화동 601-2, 032-862-1110, 뷔페, 만원-2만원, 무료주차 가능, 11:00 - 23:00
신성관, 인천시 미추홀구 도화동 119-73, 032-863-9223, 고기 요리, 3만원-4만원, 무료주차 가능, 10:00 - 23:00
커피유, 인천시 미추홀구 도화동 592-5, 032-876-3525, 카페 / 디저트, 만원 미만, 월-금: 09:30 - 22:00\n토-일: 13:00 - 22:00, None
손두부보쌈, 인천시 미추홀구 도화동 137-10, 032-862-5750, 고기 요리, 2만원-3만원, 주차공간없음, 10:30 - 22:00
무수옥, 서울시 도봉구 도봉동 600-4, 02-954-6292, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 월-토: 10:00 - 22:00\n일: 09:00 - 21:00
삼오곱창, 서울시 도봉구 도봉동 596-23, 02-954-1916, 고기 요리, None, None, None
Cafe1253, 서울시 도봉구 도봉동 62-4, 카페 / 디저트, 만원 미만, , None, None
묵은지사랑, 서울시 도봉구 도봉동 625-13, 02-954-5264, 한정식 / 백반 / 정통 한식, 만원-2만원, 주차공간없음, 11:00 - 21:30
이퓨레, 서울시 도봉구 도봉동 597-20, 02-956-0323, 이탈리안, 만원 미만, 주차공간없음, 11:30 - 22:00
써이포차나, 서울시 도봉구 도봉동 597-21, 02-6052-6180, 태국 음식, 만원 미만, 주차공간없음, 11:30 - 22:00
매워도다시한번, 서울시 도봉구 도봉동 568-34, 기타 한식, 만원 미만, None, None, None
청아라, 서울시 도봉구 도봉동 624-37, 02-3492-8292, 한정식 / 백반 / 정통 한식, 만원 미만, 11:00 - 22:00, 21:00
오마이삼겹살, 서울시 도봉구 도봉동 565, 02-954-9292, 고기 요리, None, None, None
신라삼계탕, 서울시 도봉구 도봉동 561-4, 02-954-8441, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 10:00 - 22:00
평양면옥 (의정부본점), 경기도 의정부시 의정부동 385, 031-877-2282, 국수 / 면 요리, 만원-2만원, 무료주차 가능, 11:00 - 20:30
더치480, 경기도 의정부시 의정부동 378-3, 070-4232-0480, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 23:00
사쿠라멘, 경기도 의정부시 호원동 309-36, 031-829-5754, 라멘 / 소바 / 우동, 만원 미만, None, None
의정생고기, 경기도 의정부시 호원동 415-5, 031-877-2600, 고기 요리, None, None, None
젠틀차이나, 경기도 의정부시 호원동 434-3, 031-871-0772, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 10:00 - 21:00
조금느린집, 경기도 의정부시 호원동 431-1, 031-826-3154, 카페 / 디저트, 만원 미만, 주차공간없음, 10:00 - 23:00
프랭크서울 (회룡역점), 경기도 의정부시 호원동 428, 031-879-5655, 기타 한식, 만원 미만, 무료주차 가능, 11:00 - 22:00
워낭소리, 경기도 의정부시 의정부동 377-9, 031-826-7892, 고기 요리, None, None, None
겐조스시, 경기도 의정부시 호원동 312-15, 031-877-5788, 회 / 스시, 만원-2만원, 주차공간없음, 11:30 - 22:00
아세안익스프레스, 경기도 의정부시 호원동 50-2, 031-859-0806, 다국적 아시아 음식, 만원-2만원, 유료주차 가능, 화-토: 12:00 - 21:30\n일: 12:00 - 21:00
깡통돌곱창, 경기도 의정부시 의정부동 442-8, 031-826-6992, 고기 요리, 2만원-3만원, 주차공간없음, 17:30 - 24:30
신래향, 경기도 의정부시 의정부동 196-2, 031-846-2910, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 11:00 - 20:30
평양면옥 (의정부본점), 경기도 의정부시 의정부동 385, 031-877-2282, 국수 / 면 요리, 만원-2만원, 무료주차 가능, 11:00 - 20:30
1978, 경기도 의정부시 의정부동 442-12, 031-877-6588, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 21:30
매드포갈릭 (의정부점), 경기도 의정부시 의정부동 168-54, 031-8082-0912, 패밀리 레스토랑, 만원-2만원, 주차공간없음, 11:00 - 21:30
겐텐, 경기도 의정부시 의정부동 178-6, 031-847-3271, 라멘 / 소바 / 우동, None, None, None
홍대돈부리 (의정부점), 경기도 의정부시 의정부동 194-14, 031-841-0017, 돈부리 / 일본 카레 / 벤토, 만원 미만, 주차공간없음, 11:00 - 21:00
생어거스틴 (신세계백화점 의정부점), 경기도 의정부시 의정부동 168-54, 031-8082-0920, 태국 음식, 만원-2만원, 유료주차 가능, 11:00 - 21:30
스쿨푸드 (신세계백화점 의정부점), 경기도 의정부시 의정부동 168-54, 031-8082-0265, 기타 한식, 만원 미만, 유료주차 가능, 10:30 - 21:00
부야스곱창 (의정부점), 경기도 의정부시 의정부동 179-20, 031-841-1997, 고기 요리, 만원-2만원, 주차공간없음, 일-목: 13:00 - 23:00\n금-토: 13:00 - 01:00
예향재, 경기도 의정부시 녹양동 2-13, 031-848-8845, 한정식 / 백반 / 정통 한식, 2만원-3만원, 11:00 - 22:00, 15:00 - 17:00
착한낙지 (의정부 본점), 경기도 의정부시 녹양동 108-3, 031-841-5456, 해산물 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:00
불만난쭈꾸미, 경기도 의정부시 녹양동 32, 031-837-3359, 해산물 요리, 만원 미만, 무료주차 가능, 11:00 - 22:00
굽네치킨 (의정부녹양점), 경기도 의정부시 녹양동 335-8, 031-829-9244, 닭 / 오리 요리, 만원-2만원, 주차공간없음, 12:00 - 00:30
뜨락가든, 경기도 양주시 마전동 411, 031-842-2004, 닭 / 오리 요리, 4만원 이상, 무료주차 가능, 10:00 - 21:00
쭈꾸미아저씨, 경기도 의정부시 녹양동 412-9, 031-858-4550, 해산물 요리, 만원-2만원, 무료주차 가능 지하주차장 이용가능, 12:00 - 24:00
유월의아침, 경기도 양주시 마전동 420-3, 010-8249-0049, 카페 / 디저트, None, None, None
코리안숯불바베큐 (녹양점), 경기도 의정부시 녹양동 326-5, 031-829-0341, 치킨 / 호프 / 펍, None, None, None
무한버섯나라 (녹양점), 경기도 의정부시 녹양동 412-9, 031-872-4988, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 10:30 - 22:30
전국5대짬뽕 교동짬뽕, 경기도 의정부시 녹양동 327-4, 031-826-4504, 정통 중식 / 일반 중식, 만원 미만, 주차공간없음, 10:30 - 21:00
막줄래국시, 경기도 양주시 마전동 332-2, 031-840-6759, 국수 / 면 요리, 만원 미만, 10:00 - 22:00, None
압구정해장국식당, 경기도 양주시 남방동 117-7, 031-843-3909, 탕 / 찌개 / 전골, None, None, None
김경자소문난대구왕뽈찜 (양주점), 경기도 양주시 남방동 102-1, 031-840-8671, 탕 / 찌개 / 전골, None, None, None
김돼지네, 경기도 양주시 덕계동 455-1, 031-859-0292, 고기 요리, 만원-2만원, None, None
꺼먹돼지, 경기도 양주시 덕계동 411-79, 031-863-4651, 고기 요리, 만원-2만원, 15:00 - 23:00, 
쿠우쿠우 (양주점), 경기도 양주시 덕계동 424-40, 031-866-6274, 뷔페, 만원-2만원, 무료주차 가능, 11:00 - 22:00
안골, 경기도 양주시 회정동 341, 031-859-0435, 해산물 요리, 만원-2만원, 무료주차 가능, 10:00 - 22:00
초원마차, 경기도 양주시 회정동 347, 031-861-3261, 닭 / 오리 요리, None, None, None
추오정남원추어탕, 경기도 양주시 덕계동 324-23, 031-858-5003, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 10:00 - 21:30
채선당 (덕계점), 경기도 양주시 덕계동 480-2, 031-859-5958, 기타 일식, 만원 미만, None, None
홍삼오리회전구이, 경기도 양주시 덕계동 418-6, 031-866-9297, 닭 / 오리 요리, None, None, None
김떡배, 경기도 양주시 덕계동 420-10, 031-842-2580, 기타 한식, 만원 미만, 11:00 - 23:00,
고구려삼계탕, 경기도 양주시 덕계동 679-13, 031-865-1174, 탕 / 찌개 / 전골, None, None, None
라구, 경기도 동두천시 송내동 677-6, 031-866-8991, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 22:00
뚱가네수제갈비, 경기도 동두천시 지행동 728, 031-863-5292, 고기 요리, 만원-2만원, 무료주차 가능, 12:00 - 23:00
야미앤바베쿡스, 경기도 동두천시 지행동 727-4, 031-858-8292, 스테이크 / 바베큐, 만원-2만원, 무료주차 가능, 15:00 - 23:30
아리랑갈비, 경기도 동두천시 지행동 736-2, 031-868-2435, 고기 요리, 2만원-3만원, 무료주차 가능, 11:00 - 21:30
꼬치굽는브라더, 경기도 동두천시 지행동 735-2, 010-5038-4689, 이자카야 / 오뎅 / 꼬치, 만원-2만원, 주차공간없음, 18:00 - 01:00
3일소고기국밥지행점, 경기도 동두천시 지행동 694-6, 031-866-3198, 탕 / 찌개 / 전골, None, None, None
장모님진해장국, 경기도 동두천시 지행동 674-1, 031-863-3095, 전통 주점 / 포차, 만원-2만원, 주차공간없음, 06:00 - 24:00
제리스, 경기도 동두천시 지행동 719-1, 031-866-0006, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 11:00
해물천하조개구이, 경기도 동두천시 지행동 726-9, 031-867-7707, 해산물 요리, 만원-2만원, 무료주차 가능, 월-금: 15:00 - 02:00\n토-일: 15:00 - 03:00
인비토, 경기도 동두천시 지행동 727-4, 070-7788-2700, 이탈리안, 만원-2만원, 무료주차 가능, 11:30 - 22:00
송월관, 경기도 동두천시 생연동 683-23, 031-865-2428, 한정식 / 백반 / 정통 한식, 2만원-3만원, 무료주차 가능, 11:30 - 21:00
평남면옥, 경기도 동두천시 생연동 824-28, 031-865-2413, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:30 - 21:00
처가집부대고기, 경기도 동두천시 생연동 690-25, 031-862-6640, 고기 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:00
충남칼국수, 경기도 동두천시 생연동 660-2, 031-867-8863, 국수 / 면 요리, 만원 미만, 주차공간없음, 10:00 - 21:00
별미칡냉면, 경기도 동두천시 지행동 664-6, 031-861-1414, 국수 / 면 요리, 만원 미만, None, None
소요산면옥, 경기도 동두천시 생연동 745-1, 031-863-5147, 국수 / 면 요리, 만원 미만, 무료주차 가능 공간협소, 10:00 - 21:00
카페엣, 경기도 동두천시 생연동 658-9, 031-861-5330, 카페 / 디저트, 만원 미만, 무료주차 가능, 09:00 - 23:00
카페윙, 경기도 동두천시 생연동 397-1, 031-859-7142, 카페 / 디저트, None, None, None
금락일식, 경기도 동두천시 생연동 392, 031-865-1581, 정통 일식 / 일반 일식, None, None, None
서가해물찜찜찜, 경기도 동두천시 지행동 672-1, 031-866-0042, 해산물 요리, 만원-2만원, 주차공간없음, 16:00 - 24:00
신흥숯불갈비, 경기도 동두천시 상봉암동 12, 031-865-1106, 고기 요리, 만원-2만원, 무료주차 가능, 10:00 - 21:00
소요산신흥, 경기도 동두천시 상봉암동 12, 탕 / 찌개 / 전골, 만원-2만원, None, None, None
유경참나무장작구이, 경기도 동두천시 상봉암동 140-9, 031-865-5292, 닭 / 오리 요리, None, None, None
가마솥밥집, 경기도 동두천시 상봉암동 71-4, 031-861-1114, 뷔페, 만원 미만, 무료주차 가능, 07:00 - 20:30
카페파우스, 경기도 동두천시 상봉암동 131-1, 카페 / 디저트, 만원 미만, None, None, None
명품한우축산물식당, 경기도 동두천시 상봉암동 137-10, 031-866-8820, 고기 요리, 만원-2만원, 무료주차 가능, 11:00 - 22:00
조선곰탕, 경기도 동두천시 상봉암동 172-8, 031-866-8688, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 06:00 - 22:00
넓은공간, 경기도 동두천시 상봉암동 8-4, 031-865-6787, 일반 주점, 09:00 - 23:00, None, None
다래현 (소요산점), 경기도 동두천시 상봉암동 131-8, 031-868-2007, 정통 중식 / 일반 중식, None, None, None
동천골, 경기도 동두천시 상봉암동 140-6, 031-862-2896, 탕 / 찌개 / 전골, 만원 미만, 무료주차 가능, 11:00 - 21:00
리스토어 커피, 경기도 고양시 덕양구 원흥동 90-4, 카페 / 디저트, 만원 미만, 10:00 - 22:00, 월, None
커피작법, 경기도 고양시 덕양구 원흥동 648-9, 카페 / 디저트, 만원 미만, 무료주차 가능, 월: 11:00 - 22:00\n화-일: 10:00 - 23:00, 아메리카노\n4
장가계, 경기도 고양시 덕양구 원흥동 665-1, 031-968-8866, 정통 중식 / 일반 중식, 만원 미만, 무료주차 가능, 11:00 - 21:30
드웰디자인카페, 경기도 고양시 덕양구 원흥동 663-2, 031-967-7123, 카페 / 디저트, 만원 미만, 무료주차 가능, 10:00 - 22:00
송스키친, 경기도 고양시 덕양구 원흥동 69-28, 031-966-1713, 퓨전 한식, None, None, None
하루애, 경기도 고양시 덕양구 삼송동 327-3, 02-381-4209, 까스 요리, 만원 미만, 주차공간없음, 11:30 - 21:00
꼬뜨블렁쉬, 경기도 고양시 덕양구 원흥동 658, 010-4749-4569, 카페 / 디저트, 만원 미만, 무료주차 가능, 12:00 - 20:00
셰프들의수다, 경기도 고양시 덕양구 삼송동 327-2, 02-381-5494, 브런치 / 버거 / 샌드위치, 만원 미만, 무료주차 가능, 일-목: 11:30 - 22:00\n금-토: 11:30 - 23:00
불타는꿀꿀이, 경기도 고양시 덕양구 원흥동 647-4, 070-4157-1111, 고기 요리, 만원-2만원, 유료주차 가능, 월-토: 16:00 - 02:00\n일: 15:00 - 01:00
비엔나커피하우스 (원흥역점), 경기도 고양시 덕양구 원흥동 631, 070-7798-1683, 카페 / 디저트, 만원 미만, 유료주차 가능 1시간 무료, 09:00 - 23:00
동경통닭, 서울시 동대문구 청량리동 778, 02-963-6880, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 12:00 - 22:00
영양센터 (청량리점), 서울시 동대문구 전농동 620-9, 02-966-9696, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 10:30 - 22:30
혜성칼국수, 서울시 동대문구 청량리동 50-18, 02-967-6918, 국수 / 면 요리, 만원 미만, 주차공간없음, 10:00 - 21:00
서울뼈구이매운족발 (본점), 서울시 동대문구 전농동 602-9, 02-965-5838, 고기 요리, 만원-2만원, 주차공간없음, 12:00 - 01:00
마카나이, 서울시 동대문구 전농동 602-12, 02-969-2972, 돈부리 / 일본 카레 / 벤토, 만원 미만, 주차공간없음, 10:00 - 22:00
광주식당, 서울시 동대문구 청량리동 773, 02-969-4403, 한정식 / 백반 / 정통 한식, 만원 미만, 주차공간없음, 07:00 - 22:00
할머니냉면집, 서울시 동대문구 제기동 470, 02-963-5362, 국수 / 면 요리, 만원 미만, 유료주차 가능, 09:00 - 21:00
빌리엔젤 (롯데백화점 청량리점), 서울시 동대문구 전농동 591-53, 02-3707-1949, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 20:00
실크로드, 서울시 동대문구 전농동 103-347, 02-2244-2229, 칵테일 / 와인, 만원-2만원, 주차공간없음, 16:30 - 01:00
독, 서울시 동대문구 전농동 602-4, 02-957-1116, 고기 요리, 만원 미만, 주차공간없음, 16:00 - 01:00
자그마치, 서울시 성동구 성수동2가 317-12, 070-4409-7700, 카페 / 디저트, 만원 미만, 주차공간없음, 11:00 - 23:00
성수족발, 서울시 성동구 성수동2가 289-273, 02-464-0425, 고기 요리, 만원-2만원, 주차공간없음, 12:00 - 22:00
소문난성수감자탕, 서울시 성동구 성수동2가 315-100, 02-465-6580, 탕 / 찌개 / 전골, 만원-2만원, 무료주차 가능, 00:00 - 24:00
어니언, 서울시 성동구 성수동2가 277-135, 070-7816-2710, 카페 / 디저트, 만원 미만, 주차공간없음, 월-금: 08:00 - 22:00\n토-일: 10:00 - 22:00
핑거팁스, 서울시 성동구 성수동2가 315-36, 070-4232-0805, 브런치 / 버거 / 샌드위치, 만원 미만, 주차공간없음, 화-금: 11:00 - 22:00\n토-일: 11:00 - 21:00
놀란치킨, 서울시 성동구 성수동2가 300-5, 02-461-9933, 닭 / 오리 요리, 만원-2만원, 무료주차 가능, 월-금: 15:00 - 02:00\n토-일: 15:00 - 01:00
미즈라, 서울시 성동구 성수동2가 289-39, 02-6223-1072, 회 / 스시, 2만원-3만원, 무료주차 가능, 18:00 - 01:50
원산면옥, 서울시 성동구 성수동2가 277-17, 02-467-1113, 고기 요리, 2만원-3만원, 무료주차 가능, 10:30 - 24:00
제주국수, 서울시 성동구 성수동2가 277-17, 02-466-8687, 국수 / 면 요리, 만원 미만, 무료주차 가능, 11:00 - 24:00
Haru & One day, 서울시 성동구 성수동2가 314-5, 02-499-9303, 카페 / 디저트, 만원 미만, 주차공간없음, 월-토 : 09:00 - 23:00\n일 : 09:00 - 22:00
파티세리김영모 (잠실에비뉴엘점), 서울시 송파구 신천동 29, 02-3213-2543, 베이커리, 만원 미만, 유료주차 가능, 월-금: 10:30 - 20:00\n토-일: 10:30 - 20:30
파스퇴르 밀크바, 서울시 송파구 잠실동 40-1, 02-2143-7066, 카페 / 디저트, 만원 미만, 유료주차 가능, 10:30 - 21:00
도쿄등심 (잠실점), 서울시 송파구 신천동 7-18, 02-2146-2266, 고기 요리, 3만원-4만원, 유료주차 가능, 11:00 - 23:00
스테이, 서울시 송파구 신천동 29, 02-3213-1230, 프랑스 음식, 4만원 이상, 발렛, 06:30 - 22:00
라세느 (롯데호텔월드), 서울시 송파구 잠실동 40-1, 02-411-7811, 뷔페, 4만원 이상, 유료주차 가능, 06:30 - 22:00
르빵 (롯데월드몰점), 서울시 송파구 신천동 29, 02-3213-4180, 베이커리, 만원 미만, 유료주차 가능, 월-금: 09:00 - 22:30\n토-일: 09:00 - 23:00
