['밀작', '서울시 강서구 방화동 607-152', '02-2664-1025', '베이커리', '만원 미만', '주차공간없음', '10:00 - 23:00'],,,,,
['할매닭한마리', '인천시 부평구 십정동 406-4', '032-426-8615', '닭 / 오리 요리', '만원 미만', '주차공간없음', '12:00 - 24:00'],,,,,
['육심 (동암점)', '인천시 부평구 십정동 405', '032-215-7911', '뷔페', '만원-2만원', '무료주차 가능', '16:00 - 24:00'],,,,,
['속초코다리냉면 (인천동암점)', '인천시 부평구 십정동 414-9', '032-431-0970', '해산물 요리', '만원 미만', '무료주차 가능', '10:30 - 21:30'],,,,,
['할리스커피 (인천동암역점)', '인천시 부평구 십정동 407-15', '070-4700-0305', '카페 / 디저트', '만원 미만', '주차공간없음', '08:00 - 01:00'],,,,,
['신토불이', '인천시 부평구 십정동 520-15', '032-427-1304', '닭 / 오리 요리', '2만원-3만원', '주차공간없음', '10:00 - 23:00'],,,,,
['사리원', '인천시 부평구 십정동 408-16', '032-439-5253', '정통 중식 / 일반 중식', '만원 미만', '무료주차 가능', '11:00 - 21:30'],,,,,
['아랜역물닭갈비', '인천시 부평구 십정동 422', '032-437-7942', '닭 / 오리 요리', '만원-2만원', '주차공간없음', '12:00 - 24:00'],,,,,
['착한보쌈족발 (동암직영점)', '인천시 부평구 십정동 405-1', '032-424-1142', '고기 요리', '2만원-3만원', '무료주차 가능', '14:00 - 02:00'],,,,,
['수피자 (동두천점)', '경기도 동두천시 동두천동 276-7', '031-858-9666', '기타 양식', '만원-2만원', '주차공간없음', '월-금: 11:00 - 23:00\n토-일: 10:00 - 23:00'],,,,,
['유정식당', '경기도 동두천시 동두천동 265-1', '031-863-4491', '탕 / 찌개 / 전골', '만원 미만', '무료주차 가능', '10:00 - 21:00'],,,,,
['이공숯불구이', '경기도 동두천시 동두천동 220-3', '031-858-9603', '고기 요리', '만원-2만원', '무료주차 가능', '10:00 - 22:00'],,,,,
['쏘리소', '경기도 동두천시 동두천동 229-4', '070-8819-4721', '카페 / 디저트', '만원 미만', '주차공간없음', '07:30 - 21:00'],,,,,
['None', 'None', 'None', 'None', 'None', 'None', 'None'],,,,,
['None', 'None', 'None', 'None', 'None', 'None', 'None'],,,,,
['신토불이', '인천시 부평구 십정동 520-15', '032-427-1304', '닭 / 오리 요리', '2만원-3만원', '주차공간없음', '10:00 - 23:00'],,,,,
['사리원', '인천시 부평구 십정동 408-16', '032-439-5253', '정통 중식 / 일반 중식', '만원 미만', '무료주차 가능', '11:00 - 21:30'],,,,,
['아랜역물닭갈비', '인천시 부평구 십정동 422', '032-437-7942', '닭 / 오리 요리', '만원-2만원', '주차공간없음', '12:00 - 24:00'],,,,,
['착한보쌈족발 (동암직영점)', '인천시 부평구 십정동 405-1', '032-424-1142', '고기 요리', '2만원-3만원', '무료주차 가능', '14:00 - 02:00'],,,,,
['크림디저트샵', '경기도 고양시 덕양구 화정동 973', '010-5414-5574', '카페 / 디저트', '만원 미만', '유료주차 가능 2시간 무료', '12:00 - 20:00'],,,,,
['화정족발 (본점)', '경기도 고양시 덕양구 화정동 983-1', '031-938-2270', '고기 요리', '만원-2만원', '유료주차 가능', '월-토: 13:00 - 00:30\n일: 13:00 - 22:50'],,,,,
['민쿡다시마', '경기도 고양시 덕양구 화정동 979', '031-978-3236', '회 / 스시', '만원-2만원', '주차공간없음', '11:30 - 22:00'],,,,,
['스시메이진', '경기도 고양시 덕양구 화정동 970', '031-968-7338', '회 / 스시', '만원 미만', '무료주차 가능', '11:30 - 22:00'],,,,,
['라라코스트 (화정점)', '경기도 고양시 덕양구 화정동 984-1', '031-938-3220', '이탈리안', '만원-2만원', '유료주차 가능', '11:00 - 22:00'],,,,,
['쿠우쿠우 (화정점)', '경기도 고양시 덕양구 화정동 969-1', '031-968-6274', '뷔페', '만원-2만원', '11:00 - 22:00', '식당 홈페이지로 가기'],,,,,
['육쌈냉면 (화정점)', '경기도 고양시 덕양구 화정동 979', '031-973-6392', '국수 / 면 요리', '만원 미만', '유료주차 가능', '11:00 - 20:50'],,,,,
['원조쌈밥집 (화정역점)', '경기도 고양시 덕양구 화정동 984-9', '031-938-2750', '한정식 / 백반 / 정통 한식', '만원 미만', '무료주차 가능', '11:00 - 23:00'],,,,,
['부추곱창 (일산점)', '경기도 고양시 덕양구 화정동 979-1', '031-972-2909', '고기 요리', '3만원-4만원', '주차공간없음', '16:00 - 01:00'],,,,,
['민쿡의080부대찌개', '경기도 고양시 덕양구 화정동 975-2', '031-938-3080', '탕 / 찌개 / 전골', '만원 미만', '주차공간없음', '11:30 - 22:00'],,,,,
['맘마쿡', '서울시 영등포구 영등포동6가 76', '02-3667-0003', '기타 양식', '만원-2만원', '주차공간없음', '11:00 - 23:00'],,,,,
['정석참치', '서울시 영등포구 영등포동6가 66-2', '02-2677-1164', '해산물 요리', '2만원-3만원', '무료주차 가능', '12:00 - 24:00'],,,,,
['초밥오타루', '서울시 영등포구 영등포동4가 148-1', '02-2677-5460', '회 / 스시', '만원-2만원', '유료주차 가능', '11:30 - 21:30'],,,,,
['신선설농탕 (영등포점)', '서울시 영등포구 영등포동3가 6', '02-2679-5633', '탕 / 찌개 / 전골', '만원 미만', '유료주차 가능 30분 무료', '00:00 - 24:00'],,,,,
['동방미식성', '서울시 영등포구 영등포동6가 10', '02-2675-5845', '기타 중식', '만원-2만원', '무료주차 가능', '11:00 - 24:00'],,,,,
['미스앤미스터포테이토 (영등포뉴타운점)', '서울시 영등포구 영등포동3가 31', '02-2672-5933', '퓨전 양식', '만원 미만', '10:00 - 22:30', '식당 홈페이지로 가기'],,,,,
['디톡시', '서울시 영등포구 영등포동4가 147-3', '02-2637-0181', '카페 / 디저트', '만원 미만', '주차공간없음', '월-금: 07:00 - 22:00\n토: 08:00 - 18:00\n일: 11:00 - 17:00'],,,,,
['하니앤손스', '서울시 영등포구 영등포동7가 70-18', '070-8864-8880', '카페 / 디저트', '만원 미만', '주차공간없음', '11:00 - 19:00'],,,,,
['도화원', '서울시 영등포구 영등포동4가 151-19', '02-2635-0086', '기타 중식', '만원 미만', '주차공간없음', '11:00 - 23:00'],,,,,
['해피데이', '서울시 영등포구 영등포동6가 78-2', '010-9410-0891', '베이커리', '만원 미만', '주차공간없음', '06:00 - 24:00'],,,,,
['요인요아웃', '서울시 강동구 상일동 269-5', '02-426-2727', '이탈리안', '만원-2만원', '무료주차 가능', '11:00 - 22:00'],,,,,
['아티제 (상일 GEC점)', '서울시 강동구 상일동 500', '02-481-0017', '카페 / 디저트', '만원 미만', '주차공간없음', '07:00 - 21:00'],,,,,
['테리스버거앤베니에', '서울시 강동구 상일동 300-7', '070-7450-1133', '브런치 / 버거 / 샌드위치', '만원 미만', '주차공간없음', '10:30 - 20:00'],,,,,
['하남 한돈', '경기도 하남시 초이동 74-2', '02-428-9292', '고기 요리', '만원-2만원', '무료주차 가능', '11:00 - 23:00'],,,,,
['상일정육식당', '서울시 강동구 상일동 309-1', '02-481-1199', '고기 요리', '만원-2만원', '무료주차 가능', '10:00 - 22:00'],,,,,
['더두툼생고기', '서울시 강동구 상일동 223', '02-429-3774', '고기 요리', '만원-2만원', '17:00 - 23:00', 'None'],,,,,
['어창수산', '서울시 강동구 상일동 221', '02-426-0680', '해산물 요리', '무료주차 가능', '12:00 - 24:00', '연중무휴'],,,,,
['오군테이', '서울시 강동구 상일동 285-5', '02-486-4679', '퓨전 일식', '만원-2만원', '주차공간없음', '11:00 - 24:00'],,,,,
['송화의카페', '서울시 강동구 상일동 285-4', '02-426-4919', '카페 / 디저트', '만원 미만', '무료주차 가능', '월-금: 11:00 - 21:00\n토: 12:00 - 19:00'],,,,,
['양선생', '서울시 강동구 상일동 285-3', '02-442-8190', '스테이크 / 바베큐', '2만원-3만원', '무료주차 가능', '17:30 - 24:00'],,,,,
['트라토리아 몰토', '서울시 마포구 상암동 34-36', '02-303-1022', '이탈리안', '4만원 이상', '무료주차 가능', '12:00 - 22:00'],,,,,
['오늘의 위로', '서울시 마포구 망원동 467-18', '02-322-5203', '카페 / 디저트', '만원 미만', '13:00 - 20:00', '일, 월, 마지막 화'],,,
['족발귀신 (본점)', '서울시 마포구 성산동 263-4', '02-324-2634', '고기 요리', '만원-2만원', '주차공간없음', '17:00 - 24:00'],,,,,
['델리하노이', '서울시 마포구 망원동 472-15', '02-332-9292', '베트남 음식', '만원 미만', '주차공간없음', '11:30 - 22:00'],,,,,
['골든핸즈라운지', '서울시 마포구 망원동 439-44', '070-7793-5357', '카페 / 디저트', '만원 미만', '주차공간없음', '09:00 - 21:00'],,,,,
['성산왕갈비', '서울시 마포구 성산동 446', '02-306-2001', '고기 요리', '만원-2만원', '무료주차 가능', '12:00 - 22:00'],,,,,
['만나식당', '서울시 마포구 성산동 260-14', '02-323-0726', '탕 / 찌개 / 전골', '', 'None', 'None'],,,,,
['스시키노이', '서울시 마포구 상암동 12-74', '02-3151-0887', '회 / 스시', '2만원-3만원', '주차공간없음', '11:30 - 22:00'],,,,,
['김영섭초밥', '서울시 마포구 상암동 42-20', '02-3152-0900', '회 / 스시', '만원-2만원', '유료주차 가능', '11:30 - 22:00'],,,,,
['태백국물닭갈비 (마포본점)', '서울시 마포구 망원동 436-12', '02-322-3177', '닭 / 오리 요리', '만원-2만원', '주차공간없음', '11:30 - 23:00'],,,,,
['샐러드프린세스', '서울시 성북구 하월곡동 21-56', '02-916-0027', '기타 양식', '만원 미만', '주차공간없음', '09:00 - 21:00'],,,,,
['공복', '서울시 성북구 상월곡동 62', '02-914-6692', '고기 요리', '만원-2만원', '주차공간없음', '16:00 - 01:00'],,,,,
['카페어바웃', '서울시 성북구 하월곡동 21-1', '02-916-8001', '카페 / 디저트', '만원 미만', '주차공간없음', '월-금: 10:00 - 23:00\n토-일: 13:00 - 22:00'],,,,,
['Mssg', '서울시 성북구 상월곡동 73-1', '02-6368-2986', '스테이크 / 바베큐', '만원 미만', '주차공간없음', '11:00 - 01:00'],,,,,
['카페잇', '서울시 성북구 상월곡동 64-1', '02-941-1101', '카페 / 디저트', '만원 미만', '월-금: 11:00 - 22:00\n토-일: 12:00 - 22:00', 'None'],,,,,
['치킨클럽 (동덕여대점)', '서울시 성북구 상월곡동 64-1', '02-942-7787', '치킨 / 호프 / 펍', '만원 미만', '주차공간없음', '12:00 - 24:00'],,,,,
['오징어한마리매운떡볶이 (동덕여대점)', '서울시 성북구 하월곡동 21-78', '02-943-5455', '기타 한식', '만원-2만원', '주차공간없음', '11:00 - 24:00'],,,,,
['누들아한타이', '서울시 성북구 하월곡동 17-10', '02-942-7178', '베트남 음식', '만원 미만', '유료주차 가능', '10:30 - 21:00'],,,,,
['착한짬뽕 더 착한탕수육', '서울시 성북구 하월곡동 35-4', '02-6015-3559', '정통 중식 / 일반 중식', '만원 미만', '무료주차 가능', '11:00 - 21:00'],,,,,
['화덕과베토벤', '서울시 성북구 상월곡동 57-25', '02-909-8282', '이탈리안', '만원-2만원', '11:00 - 22:00', 'None'],,,,,
['사이공리', '서울시 동작구 노량진동 312-43', '010-5919-1763', '베트남 음식', '만원 미만', '주차공간없음', '10:00 - 21:00'],,,,,
['브레드덕', '서울시 동작구 상도동 529', '070-8827-0008', '베이커리', '만원 미만', '주차공간없음', '10:00 - 20:00'],,,,,
['요술얼음', '서울시 동작구 상도동 370-12', '02-817-1255', '카페 / 디저트', '만원 미만', '주차공간없음', '월-토: 11:00 - 22:00\n일: 11:00 - 21:00'],,,,,
['늘보리', '서울시 동작구 상도동 367-6', '02-3280-6550', '해산물 요리', '만원-2만원', '무료주차 가능', '11:30 - 22:00'],,,,,
['운봉산장양고기전문점', '서울시 동작구 노량진동 309-18', '02-815-2850', '스테이크 / 바베큐', '2만원-3만원', '주차공간없음', '10:00 - 22:00'],,,,,
['신짱스시', '서울시 동작구 상도동 179-21', '02-3280-8301', '회 / 스시', '만원-2만원', '주차공간없음', '11:30 - 23:00'],,,,,
['김광일 간장새우', '서울시 동작구 상도동 179-15', '02-826-8889', '해산물 요리', '2만원-3만원', '주차공간없음', '월-금: 11:00 - 02:00\n토-일: 15:00 - 02:00'],,,,,
['아마르', '서울시 동작구 상도동 370-2', '02-816-2652', '기타 한식', '만원-2만원', '주차공간없음', '15:00 - 01:00'],,,,,
['브레드제이', '서울시 동작구 상도동 372-1', '02-811-7735', '베이커리', '만원 미만', '주차공간없음', '08:00 - 22:00'],,,,,
['풍년집정육식당', '서울시 동작구 상도동 363-142', '02-821-1014', '고기 요리', '만원-2만원', '주차공간없음', '11:00 - 24:00'],,,,,
['동신면가', '서울시 강동구 암사동 504-25', '02-481-8892', '한정식 / 백반 / 정통 한식', '만원-2만원', '무료주차 가능', '10:00 - 23:00'],,,,,
['장독흑돼지', '서울시 강동구 암사동 511-20', '02-3426-5120', '고기 요리', '만원-2만원', '무료주차 가능', '11:00 - 22:00'],,,,,
['정가네 양꼬치', '서울특별시 강동구 천호동 287-2', 'None', 'None', 'None', 'None', 'None'],,,,,
['유황생오리숯불구이', '서울시 강동구 암사동 501-13', '02-426-5614', '닭 / 오리 요리', 'None', 'None', 'None'],,,,,
['해안반점', '서울시 강동구 암사동 463-26', '02-442-2349', '정통 중식 / 일반 중식', 'None', 'None', 'None'],,,,,
['맛나슈퍼 (암사점)', '서울시 강동구 천호동 288-2', '02-471-6675', '전통 주점 / 포차', '만원 미만', '주차공간없음', '17:00 - 05:00'],,,,,
['알투라', '서울시 강동구 암사동 500-5', '02-441-0752', '카페 / 디저트', 'None', 'None', 'None'],,,,,
['오고참', '서울특별시 강동구 천호동 288-1', 'None', 'None', 'None', 'None', 'None'],,,,,
['우수식탁', '서울시 강동구 암사동 503', '010-7102-7308', '돈부리 / 일본 카레 / 벤토', '만원 미만', 'None', 'None'],,,,,
['초롱이고모부대찌개', '서울시 강동구 암사동 496-17', '02-442-3546', '탕 / 찌개 / 전골', '만원 미만', '주차공간없음', '10:30 - 22:30'],,,,,
['브레드숨', '서울시 동작구 본동 187-4', '070-8861-0007', '베이커리', '만원 미만', '주차공간없음', '월-금: 10:30 - 19:00\n토: 10:30 - 18:00'],,,,,
['그런커피', '서울시 동작구 본동 50-18', '010-9208-9109', '카페 / 디저트', '만원 미만', '주차공간없음', '12:00 - 21:00'],,,,,
['굿데이서울', '서울시 동작구 본동 49', '베이커리', '만원 미만', '식당 홈페이지로 가기', 'None', 'None'],,,,,
['카페노들수', '서울시 동작구 본동 360-9', '카페 / 디저트', '만원 미만', 'None', 'None', 'None'],,,,,
['그런밤', '서울시 동작구 본동 126-125', '010-9718-2318', '칵테일 / 와인', '만원 미만', '주차공간없음', '일-목: 18:00 - 24:00\n금-토: 18:00 - 02:00'],,,,,
['카페 비러브드', '서울시 동작구 본동 48-16', '카페 / 디저트', '만원 미만', 'None', 'None', 'None'],,,,,
['비앙 비앙', '서울시 동작구 본동 187-4', '02-826-6040', '카페 / 디저트', '만원 미만', '주차공간없음', '월-금: 11:00 - 22:00\n토-일: 12:00 - 22:00'],,,,,
['소문난명품잔치국수', '서울시 동작구 본동 126-125', '02-824-3005', '국수 / 면 요리', 'None', 'None', 'None'],,,,,
['정가네식당', '서울시 동작구 본동 417-1', '한정식 / 백반 / 정통 한식', '만원 미만', 'None', 'None', 'None'],,,,,
['한강손칼국수', '서울시 동작구 본동 46-1', '국수 / 면 요리', '만원 미만', 'None', 'None', 'None'],,,,,
['인우초밥', '서울시 동대문구 답십리동 19-65', '02-2247-1756', '회 / 스시', '만원-2만원', '주차공간없음', '12:00 - 23:00'],,,,,
['성천막국수', '서울시 동대문구 답십리동 33-28', '02-2244-5529', '국수 / 면 요리', '만원 미만', '주차공간없음', '11:30 - 21:00'],,,,,
['일광쪽갈비', '서울시 동대문구 답십리동 265-1', '02-489-5055', '고기 요리', '만원 미만', '주차공간없음', '15:00 - 24:00'],,,,,
['늘봄 해물찜 & 손칼국수 (답십리점)', '서울시 동대문구 답십리동 267-8', '02-2215-5051', '해산물 요리', '2만원-3만원', '유료주차 가능', '11:30 - 22:00'],,,,,
['갈비명가이상', '서울시 동대문구 답십리동 530-27', '02-2243-8200', '고기 요리', '3만원-4만원', '11:00 - 22:30', '21:30'],,,,,
['퍼102', '서울시 동대문구 답십리동 496-17', '02-3394-8823', '베트남 음식', '만원-2만원', '주차공간없음', '00:00 - 24:00'],,,,,
['칠오구의집 (답십리점)', '서울시 동대문구 답십리동 53-14', '02-2214-0759', '고기 요리', '만원-2만원', '주차공간없음', '12:00 - 24:00'],,,,,
['엄나무집', '서울시 동대문구 답십리동 241-18', '02-2244-8563', '닭 / 오리 요리', '2만원-3만원', '주차공간없음', '10:30 - 22:00'],,,,,
['커피그라운즈', '서울시 동대문구 답십리동 36-34', '02-478-8470', '카페 / 디저트', '만원 미만', '', 'None'],,,,,
['속초붉은대게', '서울시 성동구 용답동 2-3', '02-2213-8899', '해산물 요리', '2만원-3만원', '무료주차 가능', '11:00 - 24:00'],,,,,
['본누벨과자점', '서울시 광진구 광장동 331-3', '02-456-3145', '베이커리', '만원 미만', '무료주차 가능', '08:30 - 23:00'],,,,,
['커피점빵', '서울시 광진구 광장동 272-4', '010-2537-8493', '카페 / 디저트', '월-금: 10:00 - 22:00\n토: 13:00 - 22:00', '21:30', '일'],,,,,
['베이커리구스토', '서울시 광진구 광장동 582', '02-3436-8952', '베이커리', '만원 미만', '무료주차 가능', '06:30 - 21:30'],,,,,
['스시토푸', '서울시 광진구 광장동 326-13', '070-7624-9671', '회 / 스시', '만원-2만원', '주차공간없음', '11:30 - 22:00'],,,,,
['광나루순대', '서울시 광진구 광장동 337-4', '02-458-9878', '탕 / 찌개 / 전골', '만원 미만', '무료주차 가능', '월-금: 10:00 - 24:00\n토-일: 10:00 - 23:00'],,,,,
['신선설농탕 (광나루역점)', '서울시 광진구 광장동 240-1', '02-446-9944', '탕 / 찌개 / 전골', '만원 미만', '무료주차 가능', '00:00 - 24:00'],,,,,
['삼통치킨 (광나루역점)', '서울시 광진구 광장동 244-24', '02-457-9933', '닭 / 오리 요리', '만원 미만', '주차공간없음', '15:00 - 01:00'],,,,,
['나미', '서울시 광진구 광장동 326-6', '02-455-3244', '회 / 스시', '2만원-3만원', '무료주차 가능', '11:00 - 22:00'],,,,,
['대관령감자탕', '서울시 광진구 광장동 336-7', '02-444-6637', '탕 / 찌개 / 전골', '10:30 - 23:00', '일', 'None'],,,,,
['스시히로바미니', '서울시 광진구 광장동 250', '02-457-0203', '회 / 스시', '만원-2만원', '식당 홈페이지로 가기', 'None'],,,,,
['프언타이', '서울시 강동구 길동 333-2', '010-5448-9476', '태국 음식', '만원-2만원', '무료주차 가능', '11:30 - 01:00'],,,,,
['엘리펀트커피', '서울시 강동구 길동 335-2', '02-489-2039', '카페 / 디저트', '만원 미만', '무료주차 가능', '10:00 - 24:00'],,,,,
['청년다방 (서울천호점)', '서울시 강동구 천호동 35-28', '02-477-2080', '기타 한식', '만원-2만원', '무료주차 가능', '11:00 - 22:30'],,,,,
['엘레나가든 (강동점)', '서울시 강동구 천호동 42', '02-487-2263', '뷔페', '만원-2만원', '유료주차 가능', '11:00 - 22:00'],,,,,
['으뜸횟집', '서울시 강동구 천호동 46-27', '02-6397-8113', '해산물 요리', '2만원-3만원', '무료주차 가능', '11:30 - 23:00'],,,,,
['호우스시', '서울시 강동구 천호동 45-2', '02-456-1230', '회 / 스시', '만원-2만원', '무료주차 가능', '11:00 - 22:00'],,,,,
['가인채 (홈플러스강동점)', '서울시 강동구 천호동 42', '02-474-6602', '탕 / 찌개 / 전골', '만원-2만원', '무료주차 가능', '11:00 - 21:30'],,,,,
['할매집순대국', '서울시 강동구 천호동 35-14', '02-478-7686', '탕 / 찌개 / 전골', 'None', 'None', 'None'],,,,,
['산수고원', '서울시 강동구 명일동 346-17', '02-428-3490', '고기 요리', '만원-2만원', '무료주차 가능', '11:00 - 21:30'],,,,,
['카페햅시바', '서울시 강동구 길동 339-1', '010-3593-9187', '카페 / 디저트', '만원 미만', '유료주차 가능', '08:30 - 24:00'],,,,,
['오륜브레드', '서울시 송파구 방이동 89', '02-404-0258', '베이커리', '만원 미만', '주차공간없음', '07:00 - 20:00'],,,,,
['파리크라상 (올림픽점)', '서울시 송파구 방이동 88-2', '02-424-0316', '베이커리', '만원 미만', '무료주차 가능', '07:00 - 23:00'],,,,,
['계절밥상 (올림픽공원점)', '서울시 송파구 방이동 88', '02-419-5561', '뷔페', '만원-2만원', '유료주차 가능', '11:00 - 22:00'],,,,,
['제일제면소 (올림픽공원점)', '서울시 송파구 방이동 88', '02-421-8181', '국수 / 면 요리', '만원 미만', '유료주차 가능', '11:00 - 22:00'],,,,,
['비스트로 오르소', '서울시 송파구 방이동 89-8', '02-449-7597', '이탈리안', '만원-2만원', '무료주차 가능', '11:00 - 22:00'],,,,,
['더한스아리아', '서울시 송파구 방이동 88-20', '02-415-8410', '이탈리안', '2만원-3만원', '무료주차 가능', '11:00 - 22:00'],,,,,
['다랑손칼국수', '서울시 송파구 방이동 89-11', '02-404-3002', '국수 / 면 요리', '만원 미만', '무료주차 가능', '11:00 - 20:00'],,,,,
['단풍애김밥 (올림픽공원역점)', '서울시 송파구 방이동 89-11', '02-404-0910', '기타 한식', '만원 미만', '무료주차 가능', '07:00 - 21:00'],,,,,
['해림식당', '서울시 송파구 방이동 89-11', '02-408-1278', '한정식 / 백반 / 정통 한식', '만원 미만', '유료주차 가능 2시간 무료', '11:00 - 20:00'],,,,,
['할리스커피 (올림픽 프라자점)', '서울시 송파구 방이동 89-11', '02-443-7997', '카페 / 디저트', '만원 미만', 'None', 'None'],,,,,
['하나로황제짜장', '서울시 송파구 마천동 307-36', '02-407-4175', '정통 중식 / 일반 중식', 'None', 'None', 'None'],,,,,
['코바코 (마천점)', '서울시 송파구 마천동 307-50', '02-408-8681', '까스 요리', 'None', 'None', 'None'],,,,,
['프라브', '서울시 송파구 마천동 183-70', '02-404-6463', '카페 / 디저트', 'None', 'None', 'None'],,,,,
['바니치킨', '서울시 송파구 마천동 190-42', '02-400-4219', '치킨 / 호프 / 펍', 'None', 'None', 'None'],,,,,
['카페298', '서울시 송파구 마천동 288-6', '010-9981-1508', '카페 / 디저트', 'None', 'None', 'None'],,,,,
['맛나닭가마솥치킨', '서울시 송파구 마천동 176-6', '02-449-6999', '닭 / 오리 요리', '만원 미만', '주차공간없음', '12:30 - 24:00'],,,,,
['우돈가네맛구이', '서울시 송파구 마천동 307-49', '02-406-1798', '고기 요리', 'None', 'None', 'None'],,,,,
['시즌티', '서울시 송파구 마천동 301-57', '070-7792-3500', '카페 / 디저트', 'None', 'None', 'None'],,,,,
['소육옥', '서울시 송파구 거여동 214-2', '02-430-5824', '고기 요리', 'None', 'None', 'None'],,,,,
['종로닭한마리', '서울시 송파구 마천동 307-22', '02-400-6763', '닭 / 오리 요리', 'None', 'None', 'None'],,,,,
['커피시네마', '서울시 은평구 불광동 217-3', '02-357-1830', '카페 / 디저트', '만원 미만', '주차공간없음', '월-금: 08:30 - 21:00\n토-일: 12:00 - 21:00'],,,,,
['대로부속집', '서울시 은평구 불광동 239-53', '02-357-9289', '고기 요리', 'None', 'None', 'None'],,,,,
['독바위바지락칼국수', '서울시 은평구 불광동 221-35', '010-8134-0416', '국수 / 면 요리', 'None', 'None', 'None'],,,,,
['올떡볶이 (불광점)', '서울시 은평구 불광동 641', '02-336-3131', '기타 한식', 'None', 'None', 'None'],,,,,
['제주돈창고', '서울시 은평구 불광동 221-12', '02-353-5565', '고기 요리', 'None', 'None', 'None'],,,,,
['하하호호족발', '서울시 은평구 불광동 13-18', '02-353-0290', '한정식 / 백반 / 정통 한식', 'None', 'None', 'None'],,,,,
['수연떡방앗간', '서울시 은평구 불광동 13-15', '02-354-7333', '베이커리', 'None', 'None', 'None'],,,,,
['한앤둘 (독바위점)', '서울시 은평구 불광동 239-17', '02-353-5092', '치킨 / 호프 / 펍', 'None', 'None', 'None'],,,,,
['마성의족발', '서울시 은평구 불광동 239-35', '02-389-5103', '한정식 / 백반 / 정통 한식', 'None', 'None', 'None'],,,,,
['치킨뱅이 (광흥창역점)', '서울시 마포구 창전동 302', '02-338-1999', '닭 / 오리 요리', '만원-2만원', '주차공간없음', '11:00 - 22:00'],,,,,
['스타벅스 (서강광흥창역점)', '서울시 마포구 창전동 130', '02-325-3351', '카페 / 디저트', '만원 미만', '주차공간없음', '07:00 - 23:00'],,,,,
['뚜레쥬르 (광흥창역점)', '서울시 마포구 창전동 444', '02-325-7009', '베이커리', '만원 미만', '주차공간없음', '07:00 - 23:30'],,,,,
['네네치킨 (광흥창역점)', '서울시 마포구 창전동 316-2', '02-335-4492', '치킨 / 호프 / 펍', '만원-2만원', '주차공간없음', '12:00 - 01:00'],,,,,
['빚은 (광흥창역점)', '서울시 마포구 창전동 316-2', '02-324-3336', '기타 한식', '만원-2만원', '주차공간없음', '07:00 - 22:00'],,,,,
['내고향왕만두 (광흥창역점)', '서울시 마포구 창전동 444', '010-6400-2913', '기타 한식', '만원 미만', '무료주차 가능', '07:00 - 20:00'],,,,,
['디어브레드 (고대점)', '서울시 성북구 안암동5가 101-82', '070-7661-4129', '베이커리', '만원 미만', '주차공간없음', '10:30 - 19:00']
['고른햇살', '서울시 성북구 안암동5가 147-5', '02-953-3394', '기타 한식', '만원 미만', '주차공간없음', '06:00 - 23:50']
['프로마치', '서울시 성북구 안암동5가 103-149', '070-4038-8537', '브런치 / 버거 / 샌드위치', '만원 미만', '주차공간없음', '11:00 - 20:00']
['용초수', '서울시 성북구 안암동5가 12-70', '02-922-7991', '정통 중식 / 일반 중식', '만원 미만', '주차공간없음', '10:30 - 21:00']
['샐러데이', '서울시 성북구 안암동5가 15-25', '02-6093-5449', '기타 양식', '만원 미만', '주차공간없음', '월-금: 07:30 - 21:00 토-일: 10:30 - 20:00']
['하트카페', '서울시 성북구 안암동5가 93-15', '02-928-9970', '카페 / 디저트', '만원 미만', '주차공간없음', '11:00 - 22:00']
['더베리와플', '서울시 성북구 안암동5가 15-60', '카페 / 디저트', '만원 미만', '주차공간없음', '', 'None']
['오샬', '서울시 성북구 안암동5가 146-5', '010-4864-3644', '인도 음식', '만원 미만', '주차공간없음', '11:30 - 21:30']
['정상호프', '서울시 성북구 안암동5가 101-47', '02-921-4284', '기타 양식', '만원 미만', '주차공간없음', '유동적']
['휘모리', '서울시 성북구 안암동5가 102-36', '010-7941-1728', '일반 주점', '만원-2만원', '무료주차 가능', '17:30 - 05:00']
['시저지', '서울시 성북구 석관동 340-191', '카페 / 디저트', '만원 미만', '주차공간없음', '월-금: 09:00 - 23:00\n토-일: 11:00 - 22:00', 'None']
['이웃사촌', '서울시 성북구 석관동 220-1', '02-965-2549', '한정식 / 백반 / 정통 한식', '무료주차 가능', '11:00 - 22:00', '15:00 - 16:30']
['석관시장떡볶이', '서울시 성북구 석관동 199-12', '02-965-3719', '기타 한식', '만원 미만', 'None', 'None']
['모구모구', '서울시 성북구 석관동 248-24', '02-967-5621', '정통 일식 / 일반 일식', 'None', 'None', 'None']
['성가네낙지마을 (석관점)', '서울시 성북구 석관동 343-19', '02-967-4078', '해산물 요리', '만원 미만', '무료주차 가능', '11:00 - 22:20']
['패티앤빅왕돈가스', '서울시 성북구 장위동 50-42', '02-967-1580', '까스 요리', 'None', 'None', 'None']
['셀렉토커피 (돌곶이역스타점)', '서울시 성북구 석관동 349-1', '02-967-6854', '카페 / 디저트', 'None', 'None', 'None']
['태성식당', '서울시 성북구 장위동 66-13', '02-918-6658', '고기 요리', '만원-2만원', '무료주차 가능', '10:30 - 22:00']
['대게축제', '서울시 성북구 석관동 173-1', '02-968-6300', '해산물 요리', 'None', 'None', 'None']
['세븐돈까스김밥', '서울시 성북구 장위동 64-8', '02-909-6599', '기타 한식', '만원 미만', '주차공간없음', '00:00 - 24:00']
